section,Costs and Financial Aid,,,,
Virginia Commonwealth University School of Dentistry,"Total, International Dentist Program",NA,"$118,686 ","$111,129 ","$108,359 "
Virginia Commonwealth University School of Dentistry,#5#Notes:,,,,
University of Washington School of Dentistry,"Tuition, resident","$53,689 ","$61,431 ","$61,422 ","$56,889 "
University of Washington School of Dentistry,"Tuition, nonresident","$81,749 ","$93,268 ","$93,268 ","$93,268 "
University of Washington School of Dentistry,Fees,$355 ,$220 ,$220 ,$220 
University of Washington School of Dentistry,"Instruments, books, and supplies","$10,700 ","$10,394 ","$5,216 ","$3,060 "
University of Washington School of Dentistry,Estimated living expenses,"$21,218 ","$24,248 ","$24,248 ","$24,248 "
University of Washington School of Dentistry,"Total, resident","$85,962 ","$96,293 ","$91,106 ","$84,417 "
University of Washington School of Dentistry,"Total, nonresident","$114,022 ","$128,130 ","$122,952 ","$120,796 "
University of Washington School of Dentistry,#5#Notes: ,,,,
West Virginia University School of Dentistry,"Tuition, resident","$30,078 ","$30,078 ","$30,078 ","$20,052 "
West Virginia University School of Dentistry,"Tuition, nonresident","$71,307 ","$71,307 ","$71,307 ","$47,538 "
West Virginia University School of Dentistry,Fees,"$1,917 ","$1,917 ","$1,917 ","$1,278 "
West Virginia University School of Dentistry,"Instruments, books, and supplies","$16,621 ","$10,127 ","$6,833 ","$7,858 "
West Virginia University School of Dentistry,Estimated living expenses,"$16,482 ","$16,482 ","$16,482 ","$11,970 "
West Virginia University School of Dentistry,"Estimated living expenses, nonresident","$17,350 ","$17,350 ","$17,350 ","$12,470 "
West Virginia University School of Dentistry,"Total, resident","$65,098 ","$58,604 ","$55,310 ","$41,158 "
West Virginia University School of Dentistry,"Total, nonresident","$107,195 ","$100,701 ","$97,407 ","$69,144 "
West Virginia University School of Dentistry,#5#Notes:,,,,
Marquette University School of Dentistry,"Tuition, resident","$50,000 ","$50,000 ","$50,000 ","$50,000 "
Marquette University School of Dentistry,"Tuition, nonresident","$58,660 ","$58,660 ","$58,660 ","$58,660 "
Marquette University School of Dentistry,Fees,NA,NA,NA,NA
Marquette University School of Dentistry,"Instruments, books, and supplies","$11,950 ","$8,960 ","$3,650 ",$650 
Marquette University School of Dentistry,Estimated living expenses,"$20,408 ","$20,408 ","$20,408 ","$13,770 "
Marquette University School of Dentistry,"Total, resident","$82,358 ","$79,368 ","$74,058 ","$64,420 "
Marquette University School of Dentistry,"Total, nonresident","$91,018 ","$88,028 ","$82,718 ","$73,080 "
Marquette University School of Dentistry,#5#Notes:,,,,
University of Alberta School of Dentistry ,"Tuition, in-province students","$21,834 ","$21,834 ","$21,834 ","$19,042 "
University of Alberta School of Dentistry ,"Tuition, out-of-province students","$21,834 ","$21,834 ","$21,834 ","$19,042 "
University of Alberta School of Dentistry ,"Tuition, international students","$42,500 ","$42,500 ","$42,500 ","$37,500 "
University of Alberta School of Dentistry ,Fees,,,,
University of Alberta School of Dentistry ,"Instruments, books, and supplies","$14,000 ","$11,000 ","$22,000 ","$18,000 "
University of Alberta School of Dentistry ,Estimated living expenses,"$16,650 ","$16,650 ","$16,650 ","$16,650 "
University of Alberta School of Dentistry ,"Total, in-province students","$52,394 ","$49,394 ","$60,394 ","$53,602 "
University of Alberta School of Dentistry ,"Total, out-of-province students","$52,394 ","$49,394 ","$60,394 ","$53,602 "
University of Alberta School of Dentistry ,"Total, international students","$73,060 ","$70,060 ","$81,060 ","$72,060 "
University of Alberta School of Dentistry ,#5#Notes: Costs are indicated in Canadian dollars.,,,,
University of British Columbia Faculty of Dentistry ,"Tuition, resident","$17,755 ","$18,111 ","$18,473 ","$18,842 "
University of British Columbia Faculty of Dentistry ,"Tuition, nonresident","$17,755 ","$18,111 ","$18,473 ","$18,842 "
University of British Columbia Faculty of Dentistry ,Fees,"$36,138 ","$36,688 ","$37,355 ","$40,451 "
University of British Columbia Faculty of Dentistry ,"Instruments, books, and supplies","$4,765 ","$4,330 ","$1,900 ","$1,300 "
University of British Columbia Faculty of Dentistry ,Estimated living expenses,"$15,000 ","$15,000 ","$15,000 ","$15,000 "
University of British Columbia Faculty of Dentistry ,"Total, resident","$73,658 ","$74,129 ","$72,728 ","$75,593 "
University of British Columbia Faculty of Dentistry ,"Total, nonresident","$73,658 ","$74,129 ","$72,728 ","$75,593 "
University of British Columbia Faculty of Dentistry ,#5#Notes: Costs are indicated in Canadian dollars.,,,,
University of Manitoba College of Dentistry ,"Tuition, in-province students","$20,066 ","$19,958 ","$19,958 ","$19,958 "
University of Manitoba College of Dentistry ,"Tuition, out-of-province students","$20,066 ","$19,958 ","$19,958 ","$19,958 "
University of Manitoba College of Dentistry ,Fees,$963 ,$963 ,$963 ,$963 
University of Manitoba College of Dentistry ,"Instruments, books, and supplies","$18,826 ","$16,656 ","$7,655 ","$4,900 "
University of Manitoba College of Dentistry ,Estimated living expenses,"$10,000 ","$10,000 ","$10,000 ","$10,000 "
University of Manitoba College of Dentistry ,"Total, in-province students","$49,855 ","$47,217 ","$38,216 ","$35,461 "
University of Manitoba College of Dentistry ,"Total, out-of-province students","$49,855 ","$47,217 ","$38,216 ","$35,461 "
University of Manitoba College of Dentistry ,#5#Notes: Costs are indicated in Canadian dollars.,,,,
Dalhousie University Faculty of Dentistry ,"Tuition, in-province student","$22,700 ","$22,700 ","$22,700 ","$19,158 "
Dalhousie University Faculty of Dentistry ,"Tuition, out-of-province student","$22,700 ","$22,700 ","$22,700 ","$19,158 "
Dalhousie University Faculty of Dentistry ,"Tuition, international student","$48,080 ","$48,080 ","$48,080 ","$48,080 "
Dalhousie University Faculty of Dentistry ,Fees,"$1,119 ","$1,119 ","$1,119 ","$1,119 "
Dalhousie University Faculty of Dentistry ,"Instruments, books, and supplies","$24,019 ","$18,675 ","$13,237 ","$12,742 "
Dalhousie University Faculty of Dentistry ,Estimated living expenses,"$25,000 ","$25,000 ","$25,000 ","$25,000 "
Dalhousie University Faculty of Dentistry ,"Total, in-province resident","$72,838 ","$67,494 ","$62,056 ","$58,019 "
Dalhousie University Faculty of Dentistry ,"Total, out-of-province resident","$72,838 ","$67,494 ","$62,056 ","$58,019 "
Dalhousie University Faculty of Dentistry ,"Total, international student","$98,218 ","$92,874 ","$87,436 ","$86,941 "
Dalhousie University Faculty of Dentistry ,#5#Notes: Costs are indicated in Canadian dollars.,,,,
University of Toronto Faculty of Dentistry ,"Tuition, in-province student","$37,380 ","$37,380 ","$37,380 ","$37,380 "
University of Toronto Faculty of Dentistry ,"Tuition, out-of-province student","$37,380 ","$37,380 ","$37,380 ","$37,380 "
University of Toronto Faculty of Dentistry ,"Tuition, international student","$74,380 ","$72,310 ","$72,310 ","$72,310 "
University of Toronto Faculty of Dentistry ,Fees,"$1,275 ","$1,275 ","$1,275 ","$1,275 "
University of Toronto Faculty of Dentistry ,"Instruments, books, and supplies","$9,026 ","$7,150 ","$4,231 ","$2,570 "
University of Toronto Faculty of Dentistry ,Estimated living expenses,NR,NR,NR,NR
University of Toronto Faculty of Dentistry ,"Total, in-province students","$47,681 ","$45,805 ","$42,886 ","$41,225 "
University of Toronto Faculty of Dentistry ,"Total, out-of-province student","$47,681 ","$45,805 ","$42,886 ","$41,225 "
University of Toronto Faculty of Dentistry ,"Total, international student","$84,681 ","$80,735 ","$77,816 ","$76,155 "
University of Toronto Faculty of Dentistry ,#5#Notes: Costs are indicated in Canadian dollars.,,,,
Western University Schulich School of Medicine & Dentistry ,"Tuition, in-province student","$35,619 ","$35,619 ","$35,619 ","$35,619 "
Western University Schulich School of Medicine & Dentistry ,"Tuition, out-of-province student","$35,619 ","$35,619 ","$35,619 ","$35,619 "
Western University Schulich School of Medicine & Dentistry ,"Tuition, international student","$70,377 ","$67,771 ","$65,260 ","$62,844 "
Western University Schulich School of Medicine & Dentistry ,Fees,"$1,433 ","$1,433 ","$1,433 ","$1,433 "
Western University Schulich School of Medicine & Dentistry ,"Instruments, books, and supplies","$14,500 ","$14,450 ","$2,875 ",$575 
Western University Schulich School of Medicine & Dentistry ,Estimated living expenses,"$12,000 ","$12,000 ","$12,000 ","$12,000 "
Western University Schulich School of Medicine & Dentistry ,"Total, in-province students","$63,552 ","$63,502 ","$51,927 ","$49,627 "
Western University Schulich School of Medicine & Dentistry ,"Total, out-of-province student","$63,552 ","$63,502 ","$51,927 ","$49,627 "
Western University Schulich School of Medicine & Dentistry ,"Total, international student","$99,922 ","$96,266 ","$82,180 ","$77,464 "
Western University Schulich School of Medicine & Dentistry ,"#5#Notes: For international students, fees include UHIP (health insurance). Costs are indicated in Canadian dollars.",,,,
McGill University Faculty of Dentistry ,"Tuition, in-province student","$4,966 ","$4,540 ","$4,423 ","$3,026 "
McGill University Faculty of Dentistry ,"Tuition, out-of-province student","$15,419 ","$14,094 ","$13,732 ","$9,396 "
McGill University Faculty of Dentistry ,"Tuition, international student","$37,990 ","$34,725 ","$33,835 ","$23,150 "
McGill University Faculty of Dentistry ,Fees,"$7,747 ","$7,747 ","$7,747 ","$7,466 "
McGill University Faculty of Dentistry ,"Instruments, books, and supplies",$317 ,"$17,918 ","$5,474 ","$4,824 "
McGill University Faculty of Dentistry ,Estimated living expenses,"$20,000 ","$20,000 ","$20,000 ","$20,000 "
McGill University Faculty of Dentistry ,"Total, in-province students","$33,030 ","$50,205 ","$37,644 ","$35,316 "
McGill University Faculty of Dentistry ,"Total, out-of-province student","$43,483 ","$59,759 ","$46,953 ","$41,686 "
McGill University Faculty of Dentistry ,"Total, international student","$66,054 ","$80,390 ","$67,056 ","$55,440 "
McGill University Faculty of Dentistry ,#5#Notes: Costs are indicated in Canadian dollars,,,,
Université Laval Faculté de Médecine Dentaire ,"Tuition, in-province student","$3,895 ","$3,818 ","$3,970 ","$3,052 "
Université Laval Faculté de Médecine Dentaire ,"Tuition, out-of-province student","$10,965 ","$10,455 ","$10,965 ","$7,905 "
Université Laval Faculté de Médecine Dentaire ,Fees,NA,NA,NA,NA
Université Laval Faculté de Médecine Dentaire ,"Instruments, books, and supplies","$12,522 ","$11,312 ","$6,637 ",$500 
Université Laval Faculté de Médecine Dentaire ,Estimated living expenses,"$10,000 ","$10,000 ","$10,000 ","$10,000 "
Université Laval Faculté de Médecine Dentaire ,"Total, in-province student","$26,417 ","$25,130 ","$20,607 ","$13,552 "
Université Laval Faculté de Médecine Dentaire ,"Total, out-of-province student ","$33,487 ","$31,767 ","$27,602 ","$18,405 "
Université Laval Faculté de Médecine Dentaire ,#5#Notes: Costs are indicated in Canadian dollars,,,,
Université de Montréal Faculté de Médecine Dentaire,"Tuition, inprovince student","$3,058 ","$3,173 ","$3,215 ","$4,472 "
Université de Montréal Faculté de Médecine Dentaire,"Tuition, out-of-province student","$9,400 ","$9,730 ","$9,845 ","$13,710 "
Université de Montréal Faculté de Médecine Dentaire,Fees,$875 ,$875 ,$875 ,$875 
Université de Montréal Faculté de Médecine Dentaire,"Instruments,books, and","$16,000 ","$10,000 ","$5,000 ",$500 
Université de Montréal Faculté de Médecine Dentaire,Estimated living expenses,"$10,000 ","$10,000 ","$10,000 ","$10,000 "
Université de Montréal Faculté de Médecine Dentaire,"Total, inprovince student","$29,933 ","$24,048 ","$19,090 ","$15,847 "
Université de Montréal Faculté de Médecine Dentaire,"Total, out-ofprovince student","$36,275 ","$30,605 ","$25,720 ","$25,085 "
Université de Montréal Faculté de Médecine Dentaire,#5#Notes: Costs are indicated in Canadian dollars,,,,
University of Saskatchewan College of Dentistry,"Tuition, inprovince student","$32,960 ","$32,960 ","$32,960 ","$32,960 "
University of Saskatchewan College of Dentistry,"Tuition, out-of-province student","$32,960 ","$32,960 ","$32,960 ","$32,960 "
University of Saskatchewan College of Dentistry,Fees,NR,NR,NR,NR
University of Saskatchewan College of Dentistry,"Instruments,books, and","$9,668 ","$8,307 ","$3,156 ","$4,211 "
University of Saskatchewan College of Dentistry,Estimated living expenses,"$11,400 ","$11,400 ","$11,400 ","$11,400 "
University of Saskatchewan College of Dentistry,"Total, inprovince student","$54,028 ","$52,667 ","$47,516 ","$48,571 "
University of Saskatchewan College of Dentistry,"Total, out-ofprovince student","$54,028 ","$52,667 ","$47,516 ","$48,571 "
University of Saskatchewan College of Dentistry,#5#Notes: Costs are indicated in Canadian dollars; tuition costs indicated are subject to change.,,,,
